ticker,name,exchange,is_active
ADGF,ADAMS GOLF INC,NSDQ,N
ADGI,ALLIED DEFENSE,,N
ADGL,ALLDIGITAL HLDG,OTC,Y
ADGR,ADAL GROUP INC,,N
ADHC.,ADVANTAGE HLTH,,N
ADI,ANALOG DEVICES,NSDQ,Y
ADIC,ADV DGTL INFO,,N
ADII,ADVA INTL INC,,N
ADIL,ADIAL PHARMACT,NSDQ,Y
ADIN,AVIATION DISTRB,,N
ADLI,AMER MED TECH,OTCBB,Y
ADLR,ADOLOR CORP,,N
ADLS,ADV LIFE SCIENC,OTC,Y
ADLTQ,ADV LTG TECHN,,N
ADM,ARCHER DANIELS,NYSE,Y
ADMA,ADMA BIOLOGICS,NSDQ,Y
ADMG,ADAMANT DRI PRC,OTC,Y
ADMGQ,ADV MATLS GROUP,,N
ADMH,ADMIRALTY HLDG,,N
ADMP,ADAMIS PHARMACT,NSDQ,Y
ADMS,ADAMAS PHARMA,NSDQ,Y
ADMT,ADM TRONICS UNL,OTCBB,Y
ADNC,AUDIENCE INC,NSDQ,N
ADNT,ADIENT PLC,NYSE,Y
ADO,ADECCO SA,,N
ADOCY,ADOCIA,OTC,Y
ADOM,ADOMANI INC,OTC,Y
ADP,AUTOMATIC DATA,NSDQ,Y
ADPC,ALLIED PRODUCTS,OTC,N
ADPI,AMER DENTAL PDT,,N
ADPT,ADAPTIVE BIOTEC,NSDQ,Y
ADPTQ,ADEPTUS HEALTH,OTC,N
ADPVQ,ADAPTIVE SOLUTS,,N
ADRNY,KONIN AHOLD DEL,OTC,Y
ADRO,ADURO BIOTECH,NSDQ,Y
ADRX,ANDRX GROUP,,N
ADRZY,ANDRITZ AG,OTC,Y
ADS,ALLIANCE DATA,NYSE,Y
ADSC,ATLANTIC DATA,,N
ADSI.,AMER DISPOSAL,,N
ADSK,AUTODESK INC,NSDQ,Y
ADSPQ,ARIEL CORP,,N
ADST,ADSTAR INC,OTC,Y
ADSV,ALLIED SECURITY,OTC,Y
ADSW,ADV DISPOSL SVC,NYSE,Y
ADT,ADT INC,NYSE,Y
ADT.2,ADT LTD COM,,N
ADT.3,ADT CORP,,N
ADTC,ADVANCED DEPOSI,OTC,Y
ADTI,ADVANCE DISPLAY,,N
ADTM,ADAPTIVE MEDIAS,OTC,Y
ADTN,ADTRAN INC,NSDQ,Y
ADU,AMDURA CORP,,N
